timestamp,delta_ch0,theta_ch0,alpha_ch0,beta_ch0,gamma_ch0,delta_ch1,theta_ch1,alpha_ch1,beta_ch1,gamma_ch1,delta_ch2,theta_ch2,alpha_ch2,beta_ch2,gamma_ch2,delta_ch3,theta_ch3,alpha_ch3,beta_ch3,gamma_ch3,delta_ch4,theta_ch4,alpha_ch4,beta_ch4,gamma_ch4
1749768317.121375,81223.20508171197,12960.031481915052,4215.647009609067,4612.113464362287,445.1852969533632,124910.13488960708,11403.717252690014,1837.0477177102487,1232.842540793356,249.38903230337093,98413.35967495627,15090.48571357624,5810.169544054898,2872.948352022668,606.961208637304,149081.95098759973,20705.2753001194,8481.495250875243,1774.1275970187965,401.2427294030175,48754.56791004599,16334.366602704093,1528.1967712753908,413.2214487575954,227.67400992442577
1749768317.210125,91207.16436475088,16929.280328361307,5493.273756072988,4596.104170469768,441.4590617062057,150053.43945686452,11427.852077094465,2463.197417167442,1551.2176175424192,326.114026939499,136291.81299396572,15283.6304932953,6338.05444267456,2385.322099521386,588.922712501186,180932.87241694808,25616.228325389526,10904.016785655012,1896.050477697169,344.4444146260663,42268.014796975134,17598.24903147258,434.35279400463776,382.5176166622406,232.05484420618205
1749768317.22975,118033.45767655963,21646.502172435394,7551.069790353926,4198.6884321534435,417.76111230707556,176253.95403937827,18185.950376306842,3706.1623191740646,2045.198926024245,452.77257689818794,161546.79505018095,21773.623905563167,7254.930142836305,2083.818870048674,631.0164305141668,205024.41777179769,27698.132845121214,12622.887040907492,1982.5120744365793,289.2181399241033,36565.97531876192,17579.29837098758,236.43437408785832,414.41385024597963,257.5559531332034
1749768317.287375,154798.6451577397,25376.46908203303,10159.775539183564,3587.0676785281357,386.58697703284935,182744.69748566014,29716.401066015515,5683.590347204719,2534.4719325017677,592.868949670215,178303.12735109255,32409.0873285476,7935.5262505351975,2022.1252456150642,740.5208716830268,209529.8516573389,28198.01293884348,13118.561779378928,2083.5827813374926,258.64039901029287,31833.21900490619,15618.343152852216,280.652521457071,466.00606870276056,279.29796224157485
1749768317.351125,182205.63143289203,27538.69295930903,12672.805663625313,2974.9428293771225,358.3388886214648,176759.9348895445,43008.79062018709,8025.6321746100675,2878.0071566524944,707.1828043442084,180078.75658478792,43443.19368815515,7951.592019914472,2125.2825293718774,878.5911881194293,200047.60745539842,29525.531671448807,12261.12367244648,2225.1031568956532,263.7518379991634,25728.623697955336,12413.861045975233,425.5188375885958,509.3325460980045,293.2391640459814
1749768317.42075,192819.8188367087,28062.28993463849,14493.308897038365,2519.218615457665,336.79857336635,154135.04707215086,54755.417426298125,10169.3919411144,2994.38435527944,771.5851112906487,168498.12158905144,51739.91789185668,7410.647731340668,2237.472209988346,978.0868914523909,183797.02695153127,33445.40616766511,10357.282913076535,2374.760874244391,295.94314383494867,20026.937333256443,8841.042255220664,659.6870262951394,536.4880588137843,304.68140855654804
1749768317.496375,194680.77424887096,27623.307443796122,15413.311993787083,2249.538242678704,317.15321097357617,128520.86133180052,62369.0876145034,11171.419771897816,2862.1637663706547,770.3365998843685,154349.78652575542,55588.408220229634,6302.819381879542,2200.2579163762007,976.0977593826253,168042.98238457838,39627.30928936997,7980.384169362621,2454.8703528718397,333.02964114715815,14638.16950180559,5920.0826200268875,892.6621582744286,541.0119313195764,315.6923090540812
1749768317.556125,194640.8516611037,26859.77264523703,15108.898734359067,2069.864485160906,287.861425822264,107496.41429033336,63089.96495959056,10923.061553865868,2509.4096351793405,700.5462726086989,140051.41364828625,53585.67805929723,5039.194048660056,1971.8705460969936,855.0407797204093,155779.99797786647,45582.072711195804,5719.210298351578,2380.728617394997,352.7005446304689,9695.010993207528,4126.418283184998,1062.9772246625519,520.228420920608,325.39744867672005
1749768317.60075,193100.25391085944,25652.838947543612,13767.918926934391,1856.8914116511169,244.26229957889186,90224.33543000952,54990.53999841334,9285.368352541747,2007.103912146861,575.7195607287338,123142.15837793713,45017.292603885595,3770.6793604156037,1595.9120667224252,647.4168445947558,144359.02004509929,48020.42236195777,3868.7822374590774,2105.3645390922675,339.85998630619247,5805.374727758392,3021.2509321327557,1088.4630942727883,478.6867919571291,332.39828084311614
1749768317.661375,185298.20016996833,23235.73596083947,11584.517879313358,1566.2024613872254,194.06883269455557,73337.09800530811,40431.08356266912,6887.887966324362,1448.9785221651052,421.85238724452734,99617.39857401318,32203.784616091853,2770.329077468926,1149.3964217030518,414.15806128852523,130487.30165613654,44692.24208697708,2540.318509865739,1656.7901953214662,290.9496818768364,3617.142023361837,2070.8589337149015,952.7293182519136,429.6250720826689,337.75748448852806
